ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
MUSE_Volume_93,93,SINGLE,posterior limb of internal capsule inc. cerebral peduncle right,2480.5,R,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,10
MUSE_Volume_94,94,SINGLE,posterior limb of internal capsule inc. cerebral peduncle left,2416.3,L,WM,DEEP_WM_GM,DEEP_WM,DEEP_WM,10
MUSE_Volume_95,95,SINGLE,corpus callosum,12871.8,B,WM,NONE,NONE,NONE,0
MUSE_Volume_100,100,SINGLE,Right ACgG  anterior cingulate gyrus,4782.3,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,37
MUSE_Volume_101,101,SINGLE,Left ACgG  anterior cingulate gyrus,5262.2,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,37
MUSE_Volume_102,102,SINGLE,Right AIns  anterior insula,4600.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,18
MUSE_Volume_103,103,SINGLE,Left AIns  anterior insula,4749.1,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,18
MUSE_Volume_104,104,SINGLE,Right AOrG  anterior orbital gyrus,2244.9,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,14
MUSE_Volume_105,105,SINGLE,Left AOrG  anterior orbital gyrus,1897.7,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,14
MUSE_Volume_106,106,SINGLE,Right AnG   angular gyrus,11563.6,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,51
MUSE_Volume_107,107,SINGLE,Left AnG   angular gyrus,9939.4,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,51
MUSE_Volume_108,108,SINGLE,Right Calc  calcarine cortex,3543.7,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,47
MUSE_Volume_109,109,SINGLE,Left Calc  calcarine cortex,3635.5,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,47
MUSE_Volume_112,112,SINGLE,Right CO    central operculum,4691.3,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,33
MUSE_Volume_113,113,SINGLE,Left CO    central operculum,4466.1,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,33
MUSE_Volume_114,114,SINGLE,Right Cun   cuneus,5884.9,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,48
MUSE_Volume_115,115,SINGLE,Left Cun   cuneus,5314.7,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,48
MUSE_Volume_116,116,SINGLE,Right Ent   entorhinal area,2120.6,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,40
MUSE_Volume_117,117,SINGLE,Left Ent   entorhinal area,1887.4,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,40
MUSE_Volume_118,118,SINGLE,Right FO    frontal operculum,2548.3,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,34
MUSE_Volume_119,119,SINGLE,Left FO    frontal operculum,2489.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,34
MUSE_Volume_120,120,SINGLE,Right FRP   frontal pole,4673.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,20
MUSE_Volume_121,121,SINGLE,Left FRP   frontal pole,4392.8,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,20
MUSE_Volume_122,122,SINGLE,Right FuG   fusiform gyrus,8000.9,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_INFERIOR_GM,58
MUSE_Volume_123,123,SINGLE,Left FuG   fusiform gyrus,8077.2,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_INFERIOR_GM,58
MUSE_Volume_124,124,SINGLE,Right GRe   gyrus rectus,2699.9,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,27
MUSE_Volume_125,125,SINGLE,Left GRe   gyrus rectus,2920.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,27
MUSE_Volume_128,128,SINGLE,Right IOG   inferior occipital gyrus,7633,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,43
MUSE_Volume_129,129,SINGLE,Left IOG   inferior occipital gyrus,7403.4,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,43
MUSE_Volume_132,132,SINGLE,Right ITG   inferior temporal gyrus,12693.2,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,59
MUSE_Volume_133,133,SINGLE,Left ITG   inferior temporal gyrus,12612.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,59
MUSE_Volume_134,134,SINGLE,Right LiG   lingual gyrus,8366,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,49
MUSE_Volume_135,135,SINGLE,Left LiG   lingual gyrus,8386.3,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_MEDIAL_GM,49
MUSE_Volume_136,136,SINGLE,Right LOrG  lateral orbital gyrus,2864.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,15
MUSE_Volume_137,137,SINGLE,Left LOrG  lateral orbital gyrus,3015.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,15
MUSE_Volume_138,138,SINGLE,Right MCgG  middle cingulate gyrus,5475.1,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,38
MUSE_Volume_139,139,SINGLE,Left MCgG  middle cingulate gyrus,5335.1,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,38
MUSE_Volume_140,140,SINGLE,Right MFC   medial frontal cortex,2202.6,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,28
MUSE_Volume_141,141,SINGLE,Left MFC   medial frontal cortex,2245.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,28
MUSE_Volume_142,142,SINGLE,Right MFG   middle frontal gyrus,22580.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,21
MUSE_Volume_143,143,SINGLE,Left MFG   middle frontal gyrus,22847.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,21
MUSE_Volume_144,144,SINGLE,Right MOG   middle occipital gyrus,6792.1,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,44
MUSE_Volume_145,145,SINGLE,Left MOG   middle occipital gyrus,7232.9,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,44
MUSE_Volume_146,146,SINGLE,Right MOrG  medial orbital gyrus,4526.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,16
MUSE_Volume_147,147,SINGLE,Left MOrG  medial orbital gyrus,4637.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,16
MUSE_Volume_148,148,SINGLE,Right MPoG  postcentral gyrus medial segment,1162.5,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,55
MUSE_Volume_149,149,SINGLE,Left MPoG  postcentral gyrus medial segment,1400.3,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,55
MUSE_Volume_150,150,SINGLE,Right MPrG  precentral gyrus medial segment,2944.5,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,29
MUSE_Volume_151,151,SINGLE,Left MPrG  precentral gyrus medial segment,3081.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,29
MUSE_Volume_152,152,SINGLE,Right MSFG  superior frontal gyrus medial segment,9415.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,30
MUSE_Volume_153,153,SINGLE,Left MSFG  superior frontal gyrus medial segment,8737,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,30
MUSE_Volume_154,154,SINGLE,Right MTG   middle temporal gyrus,16084.6,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,60
MUSE_Volume_155,155,SINGLE,Left MTG   middle temporal gyrus,15793.8,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,60
MUSE_Volume_156,156,SINGLE,Right OCP   occipital pole,4054.5,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,45
MUSE_Volume_157,157,SINGLE,Left OCP   occipital pole,4297.6,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,45
MUSE_Volume_160,160,SINGLE,Right OFuG  occipital fusiform gyrus,4857.3,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
MUSE_Volume_161,161,SINGLE,Left OFuG  occipital fusiform gyrus,5087.5,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
MUSE_Volume_162,162,SINGLE,Right OpIFG opercular part of the inferior frontal gyrus,4094.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
MUSE_Volume_163,163,SINGLE,Left OpIFG opercular part of the inferior frontal gyrus,3747,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
MUSE_Volume_164,164,SINGLE,Right OrIFG orbital part of the inferior frontal gyrus,1944.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
MUSE_Volume_165,165,SINGLE,Left OrIFG orbital part of the inferior frontal gyrus,1901.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
MUSE_Volume_166,166,SINGLE,Right PCgG  posterior cingulate gyrus,4324.3,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,39
MUSE_Volume_167,167,SINGLE,Left PCgG  posterior cingulate gyrus,5181.6,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,39
MUSE_Volume_168,168,SINGLE,Right PCu   precuneus,11732.1,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,56
MUSE_Volume_169,169,SINGLE,Left PCu   precuneus,11737.4,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,56
MUSE_Volume_170,170,SINGLE,Right PHG   parahippocampal gyrus,3257.5,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,41
MUSE_Volume_171,171,SINGLE,Left PHG   parahippocampal gyrus,3536.5,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,41
MUSE_Volume_172,172,SINGLE,Right PIns  posterior insula,2532,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,19
MUSE_Volume_173,173,SINGLE,Left PIns  posterior insula,2479.5,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,19
MUSE_Volume_174,174,SINGLE,Right PO    parietal operculum,2414.5,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,35
MUSE_Volume_175,175,SINGLE,Left PO    parietal operculum,2768.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,35
MUSE_Volume_176,176,SINGLE,Right PoG   postcentral gyrus,11680.7,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,52
MUSE_Volume_177,177,SINGLE,Left PoG   postcentral gyrus,13593.5,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,52
MUSE_Volume_178,178,SINGLE,Right POrG  posterior orbital gyrus,2504.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,17
MUSE_Volume_179,179,SINGLE,Left POrG  posterior orbital gyrus,2915.7,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,17
MUSE_Volume_180,180,SINGLE,Right PP    planum polare,2448.5,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,63
MUSE_Volume_181,181,SINGLE,Left PP    planum polare,2629.8,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,63
MUSE_Volume_182,182,SINGLE,Right PrG   precentral gyrus,14641.2,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,24
MUSE_Volume_183,183,SINGLE,Left PrG   precentral gyrus,14664.6,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,24
MUSE_Volume_184,184,SINGLE,Right PT    planum temporale,2325.5,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,64
MUSE_Volume_185,185,SINGLE,Left PT    planum temporale,2511.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,64
MUSE_Volume_186,186,SINGLE,Right SCA   subcallosal area,1236,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,31
MUSE_Volume_187,187,SINGLE,Left SCA   subcallosal area,1220.8,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,31
MUSE_Volume_190,190,SINGLE,Right SFG   superior frontal gyrus,16696.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,25
MUSE_Volume_191,191,SINGLE,Left SFG   superior frontal gyrus,16867,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,25
MUSE_Volume_192,192,SINGLE,Right SMC   supplementary motor cortex,6368.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,32
MUSE_Volume_193,193,SINGLE,Left SMC   supplementary motor cortex,6723.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,32
MUSE_Volume_194,194,SINGLE,Right SMG   supramarginal gyrus,9193,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,53
MUSE_Volume_195,195,SINGLE,Left SMG   supramarginal gyrus,9984.3,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,53
MUSE_Volume_196,196,SINGLE,Right SOG   superior occipital gyrus,4967,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,46
MUSE_Volume_197,197,SINGLE,Left SOG   superior occipital gyrus,4152,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,46
MUSE_Volume_198,198,SINGLE,Right SPL   superior parietal lobule,11792.1,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,54
MUSE_Volume_199,199,SINGLE,Left SPL   superior parietal lobule,11732.8,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,54
MUSE_Volume_200,200,SINGLE,Right STG   superior temporal gyrus,9031.2,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,61
MUSE_Volume_201,201,SINGLE,Left STG   superior temporal gyrus,8451.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,61
MUSE_Volume_202,202,SINGLE,Right TMP   temporal pole,8883.7,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,62
MUSE_Volume_203,203,SINGLE,Left TMP   temporal pole,8632.1,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,62
MUSE_Volume_204,204,SINGLE,Right TrIFG triangular part of the inferior frontal gyrus,4522.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,26
MUSE_Volume_205,205,SINGLE,Left TrIFG triangular part of the inferior frontal gyrus,5256.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,26
MUSE_Volume_206,206,SINGLE,Right TTG   transverse temporal gyrus,1529.1,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,65
MUSE_Volume_207,207,SINGLE,Left TTG   transverse temporal gyrus,1821.1,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,65
MUSE_Volume_301,301,DERIVED,FRONTAL_INFERIOR_GM,,,,,,,
MUSE_Volume_302,302,DERIVED,FRONTAL_INSULAR_GM,,,,,,,
MUSE_Volume_303,303,DERIVED,FRONTAL_LATERAL_GM,,,,,,,
MUSE_Volume_304,304,DERIVED,FRONTAL_MEDIAL_GM,,,,,,,
MUSE_Volume_305,305,DERIVED,FRONTAL_OPERCULAR_GM,,,,,,,
MUSE_Volume_306,306,DERIVED,LIMBIC_CINGULATE_GM,,,,,,,
MUSE_Volume_307,307,DERIVED,LIMBIC_MEDIALTEMPORAL_GM,,,,,,,
MUSE_Volume_308,308,DERIVED,OCCIPITAL_INFERIOR_GM,,,,,,,
MUSE_Volume_309,309,DERIVED,OCCIPITAL_LATERAL_GM,,,,,,,
MUSE_Volume_310,310,DERIVED,OCCIPITAL_MEDIAL_GM,,,,,,,
MUSE_Volume_311,311,DERIVED,PARIETAL_LATERAL_GM,,,,,,,
MUSE_Volume_312,312,DERIVED,PARIETAL_MEDIAL_GM,,,,,,,
MUSE_Volume_313,313,DERIVED,TEMPORAL_INFERIOR_GM,,,,,,,
MUSE_Volume_314,314,DERIVED,TEMPORAL_LATERAL_GM,,,,,,,
MUSE_Volume_315,315,DERIVED,TEMPORAL_SUPRATEMPORAL_GM,,,,,,,
MUSE_Volume_316,316,DERIVED,FRONTAL_INFERIOR_GM_L,,,,,,,
MUSE_Volume_317,317,DERIVED,FRONTAL_INSULAR_GM_L,,,,,,,
MUSE_Volume_318,318,DERIVED,FRONTAL_LATERAL_GM_L,,,,,,,
MUSE_Volume_319,319,DERIVED,FRONTAL_MEDIAL_GM_L,,,,,,,
MUSE_Volume_320,320,DERIVED,FRONTAL_OPERCULAR_GM_L,,,,,,,
MUSE_Volume_321,321,DERIVED,LIMBIC_CINGULATE_GM_L,,,,,,,
MUSE_Volume_322,322,DERIVED,LIMBIC_MEDIALTEMPORAL_GM_L,,,,,,,
MUSE_Volume_323,323,DERIVED,OCCIPITAL_INFERIOR_GM_L,,,,,,,
MUSE_Volume_324,324,DERIVED,OCCIPITAL_LATERAL_GM_L,,,,,,,
MUSE_Volume_325,325,DERIVED,OCCIPITAL_MEDIAL_GM_L,,,,,,,
MUSE_Volume_326,326,DERIVED,PARIETAL_LATERAL_GM_L,,,,,,,
MUSE_Volume_327,327,DERIVED,PARIETAL_MEDIAL_GM_L,,,,,,,
MUSE_Volume_328,328,DERIVED,TEMPORAL_INFERIOR_GM_L,,,,,,,
MUSE_Volume_329,329,DERIVED,TEMPORAL_LATERAL_GM_L,,,,,,,
MUSE_Volume_330,330,DERIVED,TEMPORAL_SUPRATEMPORAL_GM_L,,,,,,,
MUSE_Volume_331,331,DERIVED,FRONTAL_INFERIOR_GM_R,,,,,,,
MUSE_Volume_332,332,DERIVED,FRONTAL_INSULAR_GM_R,,,,,,,
MUSE_Volume_333,333,DERIVED,FRONTAL_LATERAL_GM_R,,,,,,,
MUSE_Volume_334,334,DERIVED,FRONTAL_MEDIAL_GM_R,,,,,,,
MUSE_Volume_335,335,DERIVED,FRONTAL_OPERCULAR_GM_R,,,,,,,
MUSE_Volume_336,336,DERIVED,LIMBIC_CINGULATE_GM_R,,,,,,,
MUSE_Volume_337,337,DERIVED,LIMBIC_MEDIALTEMPORAL_GM_R,,,,,,,
MUSE_Volume_338,338,DERIVED,OCCIPITAL_INFERIOR_GM_R,,,,,,,
MUSE_Volume_339,339,DERIVED,OCCIPITAL_LATERAL_GM_R,,,,,,,
MUSE_Volume_340,340,DERIVED,OCCIPITAL_MEDIAL_GM_R,,,,,,,
MUSE_Volume_341,341,DERIVED,PARIETAL_LATERAL_GM_R,,,,,,,
MUSE_Volume_342,342,DERIVED,PARIETAL_MEDIAL_GM_R,,,,,,,
MUSE_Volume_343,343,DERIVED,TEMPORAL_INFERIOR_GM_R,,,,,,,
MUSE_Volume_344,344,DERIVED,TEMPORAL_LATERAL_GM_R,,,,,,,
MUSE_Volume_345,345,DERIVED,TEMPORAL_SUPRATEMPORAL_GM_R,,,,,,,
MUSE_Volume_401,401,DERIVED,BASAL_GANGLIA,,,,,,,
MUSE_Volume_402,402,DERIVED,DEEP_GM,,,,,,,
MUSE_Volume_403,403,DERIVED,DEEP_WM,,,,,,,
MUSE_Volume_404,404,DERIVED,FRONTAL_GM,,,,,,,
MUSE_Volume_405,405,DERIVED,FRONTAL_WM,,,,,,,
MUSE_Volume_406,406,DERIVED,LIMBIC_GM,,,,,,,
MUSE_Volume_407,407,DERIVED,OCCIPITAL_GM,,,,,,,
MUSE_Volume_408,408,DERIVED,OCCIPITAL_WM,,,,,,,
